	space	simu	simulation	kraken2 + bracken	metaphlan3	motus3	metaphlan4
SAMEA2466898	gtdb207	refMet4	254	532	104	229	226
SAMEA2466899	gtdb207	refMet4	267	563	105	238	226
SAMEA2466900	gtdb207	refMet4	149	377	55	121	116
SAMEA2466901	gtdb207	refMet4	215	444	99	194	189
SAMEA2466902	gtdb207	refMet4	142	515	72	133	128
SAMEA2466903	gtdb207	refMet4	264	594	99	226	223
SAMEA2466904	gtdb207	refMet4	235	559	111	204	204
SAMEA2466905	gtdb207	refMet4	196	542	92	180	167
SAMEA2466906	gtdb207	refMet4	273	577	117	263	243
SAMEA2466907	gtdb207	refMet4	116	394	67	108	100
SAMEA2466908	gtdb207	refMet4	270	553	116	251	238
SAMEA2466910	gtdb207	refMet4	220	544	91	199	192
SAMEA2466911	gtdb207	refMet4	326	585	133	282	283
SAMEA2466912	gtdb207	refMet4	150	409	72	134	125
SAMEA2466913	gtdb207	refMet4	261	583	108	232	229
SAMEA2466914	gtdb207	refMet4	214	446	99	194	179
SAMEA2466915	gtdb207	refMet4	212	394	90	187	179
SAMEA2466916	gtdb207	refMet4	154	484	82	155	140
SAMEA2466917	gtdb207	refMet4	69	321	41	59	56
SAMEA2466918	gtdb207	refMet4	225	467	96	201	191
SAMEA2466920	gtdb207	refMet4	91	375	46	81	76
SAMEA2466921	gtdb207	refMet4	220	511	102	205	192
SAMEA2466922	gtdb207	refMet4	161	394	58	141	137
SAMEA2466923	gtdb207	refMet4	110	413	62	99	92
SAMEA2466924	gtdb207	refMet4	135	406	66	124	122
SAMEA2466925	gtdb207	refMet4	315	638	127	280	281
SAMEA2466926	gtdb207	refMet4	182	449	94	155	142
SAMEA2466927	gtdb207	refMet4	234	581	113	220	206
SAMEA2466928	gtdb207	refMet4	159	426	77	144	140
SAMEA2466930	gtdb207	refMet4	277	592	121	244	240
SAMEA2466931	gtdb207	refMet4	198	521	81	177	175
SAMEA2466932	gtdb207	refMet4	295	631	117	268	266
SAMEA2466933	gtdb207	refMet4	156	443	91	145	133
SAMEA2466934	gtdb207	refMet4	277	620	112	248	237
SAMEA2466935	gtdb207	refMet4	179	487	81	152	152
SAMEA2466936	gtdb207	refMet4	149	445	71	137	125
SAMEA2466937	gtdb207	refMet4	224	606	93	204	197
SAMEA2466938	gtdb207	refMet4	255	541	114	218	210
SAMEA2466939	gtdb207	refMet4	257	578	87	219	212
SAMEA2466940	gtdb207	refMet4	247	558	114	217	213
SAMEA2466941	gtdb207	refMet4	161	512	90	155	144
SAMEA2466942	gtdb207	refMet4	319	620	125	289	275
SAMEA2466943	gtdb207	refMet4	322	588	132	281	273
SAMEA2466944	gtdb207	refMet4	176	502	86	146	142
SAMEA2466945	gtdb207	refMet4	263	596	114	231	226
SAMEA2466946	gtdb207	refMet4	166	495	74	152	148
SAMEA2466947	gtdb207	refMet4	231	544	105	211	202
SAMEA2466948	gtdb207	refMet4	189	526	83	169	149
SAMEA2466949	gtdb207	refMet4	252	531	102	221	222
SAMEA2466950	gtdb207	refMet4	229	489	93	205	205
SAMEA2466951	gtdb207	refMet4	318	632	141	289	287
SAMEA2466952	gtdb207	refMet4	183	482	78	169	155
SAMEA2466953	gtdb207	refMet4	278	523	113	253	246
SAMEA2466954	gtdb207	refMet4	141	413	67	126	119
SAMEA2466955	gtdb207	refMet4	282	595	118	250	236
SAMEA2466956	gtdb207	refMet4	155	432	71	130	129
SAMEA2466957	gtdb207	refMet4	229	516	98	198	197
SAMEA2466958	gtdb207	refMet4	159	443	84	135	130
SAMEA2466959	gtdb207	refMet4	299	573	124	276	259
SAMEA2466960	gtdb207	refMet4	166	453	76	156	147
SAMEA2466961	gtdb207	refMet4	203	518	94	191	174
SAMEA2466962	gtdb207	refMet4	264	593	104	238	227
SAMEA2466963	gtdb207	refMet4	266	645	112	245	239
SAMEA2466964	gtdb207	refMet4	283	629	103	252	249
SAMEA2466965	gtdb207	refMet4	228	576	94	198	188
SAMEA2466966	gtdb207	refMet4	165	524	70	146	132
SAMEA2466967	gtdb207	refMet4	264	538	105	233	235
SAMEA2466968	gtdb207	refMet4	210	466	79	166	164
SAMEA2466969	gtdb207	refMet4	193	460	81	178	169
SAMEA2466970	gtdb207	refMet4	170	484	76	153	144
SAMEA2466971	gtdb207	refMet4	327	537	128	293	292
SAMEA2466972	gtdb207	refMet4	311	612	126	269	256
SAMEA2466973	gtdb207	refMet4	289	524	96	235	234
SAMEA2466974	gtdb207	refMet4	274	573	111	242	225
SAMEA2466975	gtdb207	refMet4	202	497	100	177	173
SAMEA2466976	gtdb207	refMet4	263	609	113	241	240
SAMEA2466977	gtdb207	refMet4	247	547	103	224	217
SAMEA2466979	gtdb207	refMet4	238	534	103	208	193
SAMEA2466980	gtdb207	refMet4	149	477	75	126	119
SAMEA2466981	gtdb207	refMet4	148	488	73	131	119
SAMEA2466983	gtdb207	refMet4	231	525	93	217	205
SAMEA2466984	gtdb207	refMet4	331	585	145	301	285
SAMEA2466986	gtdb207	refMet4	288	642	120	258	243
SAMEA2466987	gtdb207	refMet4	128	370	59	111	102
SAMEA2466988	gtdb207	refMet4	300	653	109	266	253
SAMEA2466989	gtdb207	refMet4	225	541	83	186	181
SAMEA2466991	gtdb207	refMet4	244	543	107	224	214
SAMEA2466992	gtdb207	refMet4	265	549	107	237	226
SAMEA2466993	gtdb207	refMet4	290	617	109	257	250
SAMEA2466995	gtdb207	refMet4	257	563	110	222	215
SAMEA2466996	gtdb207	refMet4	315	659	129	277	276
SAMEA2466997	gtdb207	refMet4	165	514	72	155	150
SAMEA2466998	gtdb207	refMet4	118	419	68	107	104
SAMEA2466999	gtdb207	refMet4	149	537	76	147	134
SAMEA2467001	gtdb207	refMet4	103	412	61	93	87
SAMEA2467002	gtdb207	refMet4	157	491	57	139	125
SAMEA2467003	gtdb207	refMet4	177	491	91	163	153
SAMEA2467004	gtdb207	refMet4	214	517	97	178	178
SAMEA2467006	gtdb207	refMet4	331	569	131	303	300
SAMEA2467008	gtdb207	refMet4	218	511	101	194	180
SAMEA2467009	gtdb207	refMet4	57	274	40	54	53
SAMEA2467010	gtdb207	refMet4	194	387	90	181	168
SAMEA2467011	gtdb207	refMet4	114	471	63	106	93
SAMEA2467012	gtdb207	refMet4	261	601	99	230	216
SAMEA2467013	gtdb207	refMet4	261	526	112	232	225
