mOTU	msp
meta_mOTU_v3_12665	msp_0727
ref_mOTU_v3_02159	msp_0088
meta_mOTU_v3_12744	msp_0623
ext_mOTU_v3_17451	msp_1076
ext_mOTU_v3_16276	msp_0526:0.007138840714572852,msp_0663:0.9928611592854272
ext_mOTU_v3_26709	msp_0900
ref_mOTU_v3_01940	msp_0148c
ref_mOTU_v3_05070	msp_0016:0.007840213154762079,msp_0101:0.75538772098394,msp_1843:0.236772065861298
meta_mOTU_v3_12273	msp_0485
meta_mOTU_v3_12690	msp_0158
meta_mOTU_v3_13486	msp_0425
ext_mOTU_v3_17401	msp_1409
ext_mOTU_v3_16222	msp_0292:0.0437245317545088,msp_0550:0.04015668306026927,msp_0758:0.9161187851852218
meta_mOTU_v3_12789	msp_0467
ref_mOTU_v3_10479	msp_0187:0.8685773515717078,msp_0211:0.13142264842829227
meta_mOTU_v3_14217	msp_1733
ref_mOTU_v3_03347	msp_1268
ref_mOTU_v3_01300	msp_0486
meta_mOTU_v3_13837	msp_1486
meta_mOTU_v3_13953	msp_0856:0.10609647209278252,msp_1393:0.8939035279072174
ref_mOTU_v3_02811	msp_1737
ext_mOTU_v3_18163	msp_0929:0.005545246755892378,msp_1592:0.9944547532441076
ext_mOTU_v3_27016	msp_1560
ext_mOTU_v3_26463	msp_0038
meta_mOTU_v3_14016	msp_1718
meta_mOTU_v3_14054	msp_0815
ref_mOTU_v3_07383	msp_1362
ext_mOTU_v3_17790	msp_0039
ref_mOTU_v3_11609	msp_0056
ref_mOTU_v3_07697	msp_0136
meta_mOTU_v3_14202	msp_0847
meta_mOTU_v3_12389	msp_0386
ref_mOTU_v3_10173	msp_0873:0.12501570323421493,msp_0969:0.5368457323358834,msp_1528:0.3381385644299016
meta_mOTU_v3_13196	msp_0630
ref_mOTU_v3_03644	msp_0199
ref_mOTU_v3_02042	msp_0562
ext_mOTU_v3_26995	msp_0789
meta_mOTU_v3_12664	msp_0418
ext_mOTU_v3_16322	msp_0737
ref_mOTU_v3_07707	msp_0178
meta_mOTU_v3_12591	msp_0922
ext_mOTU_v3_18153	msp_0280:0.31195279343278953,msp_1419:0.6880472065672105
ext_mOTU_v3_17828	msp_2066
ext_mOTU_v3_26270	msp_0388
ref_mOTU_v3_03862	msp_1404
ext_mOTU_v3_18274	msp_1342
ref_mOTU_v3_01350	msp_0380
meta_mOTU_v3_14185	msp_0348
meta_mOTU_v3_14508	msp_1053
ext_mOTU_v3_17600	msp_0553:0.11691685912240185,msp_0751:0.8830831408775982
ext_mOTU_v3_17670	msp_0312:0.6224299065420561,msp_0867:0.3775700934579439
ref_mOTU_v3_07628	msp_0845
